,refArea,Existence of educational resources - exists,Type and size of educational resources - vocational institute,Observation URI,references,publisher,Existence of educational resources - does not exist,Nb of universities by type - Lebanese University branches,Public school coverage index (number of schools per citizen),Type and size of educational resources - public schools,Type and size of educational resources - universities,Town,Nb of universities by type - Private universities,dataset,Type and size of educational resources - private schools,Governorate,lat,lon,population,lat_gov,lon_gov
881,https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouadi+Khaled,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,2611,9,0,Ouadi Khaled,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Akkar Governorate,34.6233407,36.3875751,423596,34.5555009,36.2016453
882,"http://dbpedia.org/resource/Tripoli_District,_Lebanon",1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouadi+Nakhleh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,11251,1,0,Ouadi Nakhleh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,"Tripoli District, Lebanon",,,310980,34.4289785,35.8374584
883,http://dbpedia.org/resource/Bsharri_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouadi+Qannoubine,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ouadi Qannoubine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Bsharri District,,,76831,34.2384512,35.9869915
884,https://dbpedia.org/page/Mount_Lebanon_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouardaniyeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,4950,1,1,Ouardaniyeh,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,2,Mount Lebanon Governorate,,,1520016,33.737305,35.5998898
885,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouarhaniyeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ouarhaniyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Mount Lebanon Governorate,,,1520016,33.737305,35.5998898
886,http://dbpedia.org/resource/Keserwan_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouata+El-Jaouz,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Ouata El-Jaouz,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Keserwan District,34.0278374,35.7505666,182834,34.0127349,35.7872377
887,https://dbpedia.org/page/Baalbek-Hermel_Governorate,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Qaa+Baalbek,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,4333,3,0,Qaa Baalbek,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,1,Baalbek-Hermel Governorate,34.3408227,36.4800435,416427,34.168333,36.3134617
888,http://dbpedia.org/resource/Zahl̩_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Qaa+Er-Rim,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,4800,1,0,Qaa Er-Rim,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Zahl̩ District,33.9030844,35.8948653,,33.8503542,35.8965168
889,https://dbpedia.org/page/Nabatieh_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Qaaqaaiyet+Ej-Jisr,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,12000,1,0,Qaaqaaiyet Ej-Jisr,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,1,Nabatieh Governorate,,,383839,33.2836203,35.4897793
890,http://dbpedia.org/resource/Sidon_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Qaaqaiyet+Es-Snaoubar,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Qaaqaiyet Es-Snaoubar,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Sidon District,,,207500,33.4544542,35.3385676
